syscall_nr,name,status,notes
57,fork,implemented,"Eager-copy of parent's user-half VmSpace (every leaf user PTE → fresh frame, memcpy bytes, map in child). Child's `TrapFrame` cloned from parent's with `rax=0`; child's first launch IRETQs to parent's syscall return point. fd table is `clone_for_child` (Arc-bump on each `OpenFile`); brk/mmap/sigactions copied."
58,vfork,implemented,"Forks then parks parent on child's `vfork_done` queue. Drained when child execve()s (via `exec_current`) or exits (every exit path). Shared-VmSpace until execve still deferred (we use a fork-shape copy-on-write VmSpace), but the dominant `vfork+execve` pattern works either way since execve replaces the AS. A sticky `vfork_done_set: AtomicBool` on the child closes a missed-wakeup race when the child execs/exits between fork-return and the parent's enqueue, so a `find | xargs -n1 cmd` pipeline does not wedge on an unreaped vforked child."
59,execve,implemented,"Tears down current `VmSpace` user half, reloads new ELF, maps fresh user stack, resets brk / mmap arena / sigactions / pending signals / siginfo queue / alt stack / cmdline / exe_path, closes O_CLOEXEC fds, drains `vfork_done`. +x permission check on the binary; S_ISUID and S_ISGID set on the file → euid/suid/fsuid (resp egid/sgid/fsgid) become file owner; ruid/rgid unchanged."
60,exit,implemented,"Per-CPU scheduler reaps the dying task to `Zombie(code)`. Exit-time futex hygiene: clears the `set_tid_address` futex word + wakes one waiter, walks the `set_robust_list` chain marking each held futex `FUTEX_OWNER_DIED` and waking one waiter. Posts SIGCHLD to parent with `PendingSigInfo { si_code: CLD_EXITED, si_pid: child, si_status }` so a parent under `SA_SIGINFO` sees real values. `wait4` reap drops the `Box<Process>` after releasing GLOBAL — `VmSpace::Drop` reclaims the entire user-half page-table tree (leaf frames + L1/L2/L3 + TLB shootdown) and `kernel::futex::drop_vmspace` sweeps any remaining futex queues keyed on the dying VmSpace."
61,wait4,implemented,"Parent parks on its own `child_exit` `WaitQueue`; `exit_current` / `kill_user_fault` drain it. Status encoded in the documented `wait` status format: normal exit → `(code & 0xff) << 8`, fault-killed → SIGSEGV (low 7 bits). Honors `WNOHANG`. `pid > 0` selects a specific child; `<= 0` selectors are treated as -1 (any) until pgids land. `rusage` ignored. Signal-aware: a deliverable non-SIGCHLD signal during park returns `-EINTR`; SIGCHLD is the wake event itself, the loop just re-checks for a reapable child after each wake. pid arg is in caller's pid_ns and translates to host on entry; reaped pid is snapshotted in caller's pid_ns *before* `drop_chain` destroys the mapping at reap."
62,kill,implemented,"Full default-action surface plus `kill(-pgid, sig)` process-group fan-out: `pid<0` signals every member of `Pid(-pid)`'s pgrp; `pid==0` fans out to caller's pgrp. Per-signal `default_action()` table (Term / Core / Stop / Cont / Ignore) per `man 7 signal`. SIGKILL / SIGSTOP uncatchable + unblockable (`rt_sigaction` rejects with EINVAL; dispatcher force-defaults). Stop-default signals (SIGSTOP/SIGTSTP/SIGTTIN/SIGTTOU) flip `Process::state` to `Stopped` and notify parent's `wait4(WUNTRACED)`. SIGCONT against Stopped resumes back to Runnable and discards pending Stop-default signals per `man 7 signal`. Term/Core-default signals terminate via `terminate_current_with_signal`, encoding `KilledBySignal { signal }` so `wait4` reports `WIFSIGNALED` (low 7 bits = signum). pid arg is ns-local; positive pid translates to host before signal post; negative pgid translates the abs(pid) ns-local pgid to host before `signal_pgrp`."
63,uname,implemented,"Six 65-byte fields (sysname/nodename/release/version/machine/domainname). Static values: sysname=""Linux"", machine=""x86_64""."
64,semget,missing,
65,semop,missing,
66,semctl,missing,
67,shmdt,implemented,"Walks the calling process's VMAs to find the `VmaBacking::Shm` at `addr`, calls `vm.unmap_keep_frame` for each page (unmaps without freeing — frames belong to the segment), removes the VMA, decrements `attached`. If `attached==0 && marked_rmid`, the segment is dropped from the global table."
68,msgget,missing,
69,msgsnd,missing,
70,msgrcv,missing,
71,msgctl,missing,
72,fcntl,implemented,`F_DUPFD` / `F_DUPFD_CLOEXEC` / `F_GETFD` / `F_SETFD` / `F_GETFL` / `F_SETFL`. `F_GETLK` / `F_SETLK` / `F_SETLKW` POSIX advisory locks via `kernel::vfs::locks::posix`. SEEK_CUR / SEEK_END whence in `struct flock` honored — fd's current offset + inode's size threaded through the fcntl path. **F_OFD_GETLK / F_OFD_SETLK / F_OFD_SETLKW** also wired — same advisory-lock semantics but ownership is per-OFD (`Arc<OpenFile>` pointer) so locks survive fork via shared FdTable. F_GET_SEALS / F_ADD_SEALS for memfd.
73,flock,implemented,Real BSD whole-file advisory lock. Per-OFD (Arc<OpenFile> ptr) state in a per-inode `FlockState`: Unlocked / Shared(set) / Exclusive(holder). LOCK_NB returns EWOULDBLOCK on conflict; default-blocking parks on per-inode wait queue and retries. Atomic upgrade (sole-SH→EX) and downgrade (EX→SH). OFD close drops the lock automatically via `OpenFile::Drop`.
74,fsync,implemented,tmpfs writes are RAM-synchronous; ext4 writes are device-synchronous. No-op success.
75,fdatasync,implemented,Same as `fsync`.
76,truncate,implemented,Routes to `Inode::truncate`. Invalidates page cache above new length.
77,ftruncate,implemented,
78,getdents,implemented,Real legacy dirent layout (d_ino + d_off + d_reclen + name + NUL + pad + d_type at offset reclen-1). Distinct from getdents64 (d_type before name). The buffer is correctly shaped for the legacy static binaries that use this syscall.
79,getcwd,implemented,
80,chdir,implemented,
81,fchdir,implemented,"Pulls inode from fd table, validates it's a directory, sets `Process::cwd`. Path string is set to ""/"" as a placeholder (no inode→path reconstruction yet; real `getcwd` would need a dentry cache)."
82,rename,implemented,Routes through `renameat2`. Atomic single-FS rename via `Inode::rename` override.
83,mkdir,implemented,Routes through `mkdirat(AT_FDCWD)`.
84,rmdir,implemented,Routes through `unlinkat(AT_REMOVEDIR)`. Empty-dir check via `Inode::rmdir`.
85,creat,implemented,"Wraps `openat(AT_FDCWD, path, O_CREAT|O_WRONLY|O_TRUNC, mode)`."
86,link,implemented,Routes through `linkat`. Bumps target's nlink via `Inode::bump_nlink`.
87,unlink,implemented,Routes through `unlinkat(AT_FDCWD)`. Drops nlink via `Inode::drop_nlink`.
88,symlink,implemented,Routes through `symlinkat`. tmpfs creates a Symlink inode storing the target string.
89,readlink,implemented,Routes through `readlinkat(AT_FDCWD)`.
90,chmod,implemented,Routes through `fchmodat(AT_FDCWD)`. Mode bits stored per-inode (tmpfs).
91,fchmod,implemented,
92,chown,implemented,Routes through `fchownat(AT_FDCWD)`. uid/gid stored per-inode (tmpfs).
93,fchown,implemented,
94,lchown,implemented,Same as `chown` (no follow distinction in our resolver yet).
95,umask,implemented,"Per-process `Process::umask`, default 0o022, inherited across fork."
96,gettimeofday,implemented,"Wall-clock time via KVM pvclock when available (real seconds-since-1970 from the host); falls back to monotonic-since-boot when pvclock isn't exposed (e.g., a TCG-only environment). NULL `tv` allowed (returns 0). `tz` ignored — deprecated by the ABI."
97,getrlimit,implemented,"RLIMIT_NOFILE=1024 (matches `MAX_FDS`), RLIMIT_STACK=8MiB / unlimited, RLIMIT_AS=128 TiB. Other resources return RLIM_INFINITY."
98,getrusage,implemented,"Real `ru_utime` from `Process.total_cpu_ns` (charged on every `charge_runtime` from on_tick / yield). `ru_stime` stays 0 — user/system CPU split needs syscall-entry/exit instrumentation. RUSAGE_SELF / THREAD honored; RUSAGE_CHILDREN zeroed (per-child accumulation deferred). Memory-pressure fields (`ru_maxrss`, `ru_majflt`, ...) zeroed."
99,sysinfo,implemented,Fills the 112-byte `struct sysinfo`. `uptime` from `frame::time::nanos_since_boot()`. `loads[3]` zero (no load-avg sampler). `totalram` / `freeram` from `frame::mm::frame_alloc::stats()`; `sharedram` / `bufferram` zero (no page cache yet). `totalswap` / `freeswap` zero (no swap). `procs` from `sched::process_count_alive()`. `mem_unit = 1` (bytes).
100,times,implemented,`tms_utime` real (from `Process.total_cpu_ns / 10ms`); `tms_stime` / `tms_cutime` / `tms_cstime` zeroed (same user/sys-split + per-child gaps as `getrusage`). Returns wall-clock-since-boot in clock_t (100Hz).
101,ptrace,implemented,"Comprehensive ptrace operation coverage. **Syscall tracing:** TRACEME / ATTACH / DETACH / CONT / SYSCALL / KILL / PEEKDATA / PEEKTEXT / POKEDATA / POKETEXT / GETREGS / SETREGS / SETOPTIONS(TRACESYSGOOD). **Single-step / breakpoints:** SINGLESTEP, int3 → SIGTRAP via IDT trace-trap hook (DPL=3 on #BP gate so user int3 doesn't trigger #GP), POKETEXT into RX (lands via kernel high-half physmap regardless of user PTE flags). **Signal-stop + follow-fork:** signal-stop forwarding (deliver_pending_signals diverts non-SIGKILL signals to a `Signal(sig)` trace stop; tracer suppresses/substitutes/re-delivers via PTRACE_CONT arg), PTRACE_O_TRACEFORK auto-attach (forked children inherit tracer + arm syscall stop), GETEVENTMSG (returns new-child pid for fork events / signal number for signal stops). Cross-VmSpace memory access via `frame::user::peek_other_vmspace` / `poke_other_vmspace`. Test exercises end-to-end TRACEME→stop→SETOPTIONS→CONT→int3-stop→GETREGS→SYSCALL→write-entry-stop→DETACH→reap. Marker `PTRACE_OK`. Remaining gaps: PTRACE_GETSIGINFO/SETSIGINFO full siginfo_t, TRACEEXEC/TRACECLONE/TRACEVFORK/TRACEEXIT auto-stops, PTRACE_GET_SYSCALL_INFO fast path, hardware watchpoints DR0-DR7."
102,getuid,implemented,Real credential model. Returns `Process::creds::ruid`. Boot starts as root (uid=0); `setresuid` etc. drop privileges with strict transition validation.
103,syslog,implemented,"Kernel log ring buffer (64 KiB, the documented `LOG_BUF_SHIFT = 16` size). Mirrors every byte from `frame::println!` via a function-pointer sink wired in `kernel::init`. SYSLOG_ACTION_READ / READ_ALL / READ_CLEAR copy bytes to userspace; CLEAR / OPEN / CLOSE / CONSOLE_* are no-ops or in-ring state changes; SIZE_UNREAD / SIZE_BUFFER report ring stats. User-space readers retrieve the boot log via SYSLOG_ACTION_READ / READ_ALL / READ_CLEAR."
104,getgid,implemented,Returns `Process::creds::rgid`.
105,setuid,implemented,"POSIX simple-form privilege drop. Privileged caller (euid==0): full drop (ruid=euid=suid=uid). Unprivileged caller: `uid` must be one of (ruid, euid, suid); only `euid` changes (so suid keeps the saved root copy for setuid binaries). Returns -EPERM otherwise."
106,setgid,implemented,Same shape as `setuid` for group ids.
107,geteuid,implemented,Returns `Process::creds::euid`.
108,getegid,implemented,Returns `Process::creds::egid`.
109,setpgid,implemented,"Real `Process::pgid` field + helper in `kernel::sched`. Validates target in caller's session, target not a session leader (`EPERM` otherwise). `pid==0` ↔ caller; `pgid==0` ↔ target's own pid. Both args are ns-local; translated to host pids before storing."
110,getppid,implemented,"Returns parent pid; 0 for boot's first user task. Translates parent's host pid to caller's pid_ns view. Returns 0 when parent isn't visible from caller's pid_ns (the ""parent in a different ns"" semantic)."
111,getpgrp,implemented,Returns the calling task's `pgid` (the job-control group it belongs to). pgid translated to caller's pid_ns view.
112,setsid,implemented,Caller becomes session leader: `sid = pgid = pid`. Returns `EPERM` if caller is already a process-group leader. Returned new sid translated to caller's pid_ns view.
113,setreuid,implemented,The legacy two-arg form. Same transition validation as `setresuid`; additionally updates `suid` if either field changes (so subsequent `setuid` retains a saved-root fallback).
114,setregid,implemented,Same shape on group ids.
115,getgroups,implemented,Returns the real supplementary group list from `Process::creds::groups`. `size==0` is the probe-for-count form.
116,setgroups,implemented,Privileged-only (CAP_SETGID). Replaces the supplementary group list. Cap at 256 entries. -EPERM if non-privileged.
117,setresuid,implemented,"Strict transition rule: each new (ruid, euid, suid) value must equal one of the current triple, OR caller is privileged (euid==0). `(uid_t)-1` ↔ leave unchanged. Returns -EPERM on disallowed transition."
118,getresuid,implemented,"Returns the real (ruid, euid, suid) triple from `Process::creds`. NULL pointer ↔ skip."
119,setresgid,implemented,Same shape as `setresuid` for group ids.
120,getresgid,implemented,"Real (rgid, egid, sgid)."
121,getpgid,implemented,Read `Process::pgid` of the named pid (or caller if `pid==0`). Input pid + return pgid both translated through caller's pid_ns.
122,setfsuid,implemented,"Filesystem uid override. Returns the OLD `fsuid`. Sets new fsuid only if value is one of (ruid, euid, suid, fsuid) or caller is privileged."
123,setfsgid,implemented,Same shape on group ids.
124,getsid,implemented,Read `Process::sid`. Input pid + return sid both translated through caller's pid_ns.
125,capget,implemented,The v3 (0x20080522) capability layout. Returns target's effective/permitted/inheritable caps packed as two `__user_cap_data_struct` slots. Wrong version → EINVAL with kernel's preferred version written back.
126,capset,implemented,Self-only (cross-process → EPERM). Validation: new_perm ⊆ old_perm; new_eff ⊆ new_perm; new_inh ⊆ (old_inh ∪ old_perm); new_inh ⊆ (caps_bnd ∪ old_inh).
127,rt_sigpending,implemented,Copies `Process.pending_signals` (u64 bitmask) to user. Validates `sigsetsize == 8` (x86_64 sigset_t).
128,rt_sigtimedwait,implemented,"Synchronous signal wait. Pre-checks pending against `set_mask`, consumes + returns on hit. Otherwise: NULL timeout → block forever; zero timespec → poll-only (EAGAIN if nothing pending); finite timespec → register a `crate::timeout` deadline-park, sleep until signal-or-deadline, return EAGAIN on timeout expiry."
129,rt_sigqueueinfo,implemented,"Like `kill(pid, sig)` but copies the user-supplied 128-byte siginfo_t. The positive-si_code-from-unprivileged check enforced (-EPERM unless euid==0). Routes through existing `send_signal_with_info`."
130,rt_sigsuspend,implemented,"Atomically replace blocked-signal mask, park on `sleep_until_signal` (new helper that loops on signal_wait), restore original mask on signal arrival, return -EINTR. SIGKILL/SIGSTOP can't be blocked."
131,sigaltstack,implemented,Stores per-process; refuses to change while running on the alt stack (EPERM); cleared on `execve`.
132,utime,missing,
133,mknod,implemented,Routes through `mknodat(AT_FDCWD)`. Decodes kind from `mode & S_IFMT`.
134,uselib,deprecated,DEPRECATED: obsolete shared-library loader. Returns `-ENOSYS` per the documented ABI for this deprecated entry point. Loaded shared libraries directly (pre-`ld.so` machinery); modern userland uses the dynamic linker.
135,personality,implemented,"Returns `0` (the base personality, value 0) for any input. We don't run other personalities."
136,ustat,deprecated,`-ENOSYS`. Deprecated; replaced by `statfs(2)`. Userland routes `ustat` through statfs; binaries probing the syscall directly fall back gracefully.
137,statfs,implemented,"120-byte `struct statfs64`. Magic 0x01021994 for tmpfs, 0xEF53 for ext4."
138,fstatfs,implemented,
139,sysfs,dead,`-ENOSYS`. Distinct from the `/sys` directory tree. The syscall returned filesystem-type names by index; deprecated in favor of `/proc/filesystems`. Modern kernels mostly return -ENOSYS.
140,getpriority,implemented,"Reads `Process::nice`, returns `20 - nice` (the encoded form). `which == PRIO_PROCESS` only; PRIO_PGRP / PRIO_USER return EINVAL."
141,setpriority,implemented,"Clamps to `[-20, 19]`, writes `Process::nice`. Real round-trip with getpriority. CAP_SYS_NICE for negative values not enforced. Advisory until the scheduler honors nice for time-slicing."
142,sched_setparam,implemented,Change RT priority of an already-RT task without changing policy. For non-RT tasks the only valid value is 0; otherwise `-EINVAL`. CAP_SYS_NICE gated.
143,sched_getparam,implemented,Fills `sched_priority` with the task's RT priority (0 for non-RT).
144,sched_setscheduler,implemented,"Switches a task between SCHED_OTHER (Cfs) / SCHED_FIFO / SCHED_RR / SCHED_BATCH / SCHED_IDLE. RT priority `[1, 99]`; OTHER/BATCH/IDLE require priority==0. CAP_SYS_NICE gates RT entry. `set_sched_class` re-routes the task between class sub-queues atomically. SCHED_DEADLINE rejected here — must use `sched_setattr`."
145,sched_getscheduler,implemented,"Returns 0 (OTHER), 1 (FIFO), 2 (RR), 6 (DEADLINE)."
146,sched_get_priority_max,implemented,99 for FIFO/RR; 0 for OTHER/BATCH/IDLE.
147,sched_get_priority_min,implemented,1 for FIFO/RR; 0 for OTHER/BATCH/IDLE.
148,sched_rr_get_interval,implemented,"`SCHED_RR_TIMESLICE_NS` (100 ms) for RR tasks, zeroed for everything else."
149,mlock,implemented,"Validates the address range covers existing VMAs (-ENOMEM on holes), returns success. We have no swap, so every page is RAM-resident by construction — the ""page is locked in physical memory"" semantic is automatic on a no-swap kernel."
150,munlock,implemented,Symmetric to `mlock`.
151,mlockall,implemented,"Validates `flags` is one of MCL_CURRENT/MCL_FUTURE/MCL_ONFAULT (with the 4.4-era ONFAULT bit), returns success."
152,munlockall,implemented,Always 0.
153,vhangup,implemented,Root: 0 (no controlling-tty teardown to do — single-console kernel). Non-root: -EPERM. CAP_SYS_TTY_CONFIG is the documented requirement; we use the simpler euid==0 check.
154,modify_ldt,out-of-scope,OUT-OF-SCOPE: 32-bit not supported. `-ENOSYS`. x86_64 doesn't use a per-task LDT (GDT-only segment model). The x86_64 ABI returns -ENOSYS for this i386-era call.
155,pivot_root,implemented,"Real semantics on top of the per-process VFS context. Mounts the old root at `put_old`'s inode-id via `vfs::mount_install`, then sets `Process::fs_root` to `new_root`. Subsequent path resolution walks from new_root; old root reachable via `/<put_old>`."
156,_sysctl,dead,DEAD: removed; returns `-ENOSYS`. Replaced by writes to `/proc/sys/`.
